pixel,fps,pv,ra,stream,model,GPU,surprise,retrain
420,30,1.0,0.53,4,Laptop,0,45,True
420,30,1.0,0.57,4,Laptop,0,44,True
420,30,1.0,0.6,4,Laptop,0,43,False
420,30,1.0,0.77,4,Laptop,0,37,True
420,30,1.0,0.9,4,Laptop,0,38,False
420,30,1.0,0.87,4,Laptop,0,37,True
420,30,1.0,0.83,4,Laptop,0,35,False
420,30,1.0,0.7,4,Laptop,0,39,True
420,30,1.0,0.87,4,Laptop,0,34,True
420,30,1.0,0.97,4,Laptop,0,31,True
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,1.0,4,Laptop,0,30,True
420,30,1.0,0.93,4,Laptop,0,32,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,32,True
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.93,4,Laptop,0,32,True
420,30,1.0,0.97,4,Laptop,0,31,False
420,30,1.0,0.9,4,Laptop,0,33,False
420,30,1.0,0.43,4,Orin,0,85,True
420,30,1.0,0.87,4,Orin,0,84,True
420,30,1.0,0.47,4,Orin,0,72,True
420,30,1.0,0.57,4,Orin,0,56,True
420,30,1.0,0.47,4,Orin,0,64,False
420,30,1.0,0.57,4,Orin,0,52,True
420,30,1.0,0.73,4,Orin,0,36,True
420,30,1.0,0.7,4,Orin,0,39,True
420,30,1.0,0.77,4,Orin,0,33,True
420,30,1.0,0.8,4,Orin,0,30,False
420,30,1.0,0.77,4,Orin,0,33,True
420,30,1.0,0.77,4,Orin,0,31,False
420,30,1.0,0.8,4,Orin,0,30,False
420,30,1.0,0.77,4,Orin,0,31,False
420,30,1.0,0.77,4,Orin,0,33,False
420,30,1.0,0.8,4,Orin,0,30,False
420,30,1.0,0.77,4,Orin,0,33,True
420,30,1.0,0.77,4,Orin,0,31,False
420,30,1.0,0.8,4,Orin,0,30,False
420,30,1.0,0.77,4,Orin,0,31,False
420,30,1.0,0.77,4,Orin,0,33,False
420,30,1.0,0.8,4,Orin,0,30,False
420,30,1.0,0.77,4,Orin,0,33,False
420,30,1.0,0.77,4,Orin,0,31,False
420,30,1.0,0.8,4,Orin,0,30,False
420,30,1.0,0.77,4,Orin,0,31,False
420,30,1.0,0.77,4,Orin,0,33,False
420,30,1.0,0.8,4,Orin,0,30,False
420,30,1.0,0.77,4,Orin,0,33,False
420,30,1.0,0.77,4,Orin,0,31,False
420,30,1.0,0.8,4,Orin,0,30,False
420,30,1.0,0.77,4,Orin,0,31,False
420,30,1.0,0.97,4,Nano,0,122,True
420,30,1.0,0.93,4,Nano,0,115,True
420,30,1.0,0.97,4,Nano,0,120,True
420,30,1.0,0.7,4,Nano,0,105,True
420,30,1.0,0.53,4,Nano,0,102,True
420,30,1.0,0.53,4,Nano,0,95,True
420,30,1.0,0.8,4,Nano,0,83,True
420,30,1.0,0.77,4,Nano,0,74,True
420,30,1.0,0.73,4,Nano,0,63,True
420,30,1.0,0.73,4,Nano,0,64,True
420,30,1.0,0.7,4,Nano,0,57,True
420,30,1.0,0.73,4,Nano,0,48,True
420,30,1.0,0.8,4,Nano,0,42,True
420,30,1.0,0.73,4,Nano,0,39,True
420,30,1.0,0.67,4,Nano,0,41,True
420,30,1.0,0.53,4,Nano,0,37,True
420,30,1.0,0.53,4,Nano,0,39,True
420,30,1.0,0.67,4,Nano,0,41,True
420,30,1.0,0.73,4,Nano,0,41,True
420,30,1.0,0.63,4,Nano,0,41,True
420,30,1.0,0.63,4,Nano,0,41,False
420,30,1.0,0.73,4,Nano,0,36,True
420,30,1.0,0.73,4,Nano,0,36,True
420,30,1.0,0.73,4,Nano,0,33,True
420,30,1.0,0.73,4,Nano,0,32,True
420,30,1.0,0.73,4,Nano,0,33,True
420,30,1.0,0.73,4,Nano,0,32,False
420,30,1.0,0.73,4,Nano,0,33,False
420,30,1.0,0.73,4,Nano,0,32,False
420,30,1.0,0.73,4,Nano,0,33,False
420,30,1.0,0.73,4,Nano,0,32,False
420,30,1.0,1.0,1,Xavier CPU,0,43,True
420,30,1.0,0.43,4,Xavier CPU,0,43,False
420,30,1.0,0.37,4,Xavier CPU,0,44,True
420,30,1.0,0.53,4,Xavier CPU,0,42,True
420,30,1.0,0.77,4,Xavier CPU,0,39,True
420,30,1.0,0.67,4,Xavier CPU,0,40,False
420,30,1.0,0.7,4,Xavier CPU,0,40,False
420,30,1.0,0.6,4,Xavier CPU,0,41,True
420,30,1.0,0.73,4,Xavier CPU,0,39,False
420,30,1.0,0.67,4,Xavier CPU,0,40,False
420,30,1.0,0.83,4,Xavier CPU,0,38,False
420,30,1.0,0.87,4,Xavier CPU,0,38,False
420,30,1.0,0.6,4,Xavier CPU,0,41,True
420,30,1.0,0.67,4,Xavier CPU,0,40,True
420,30,1.0,0.7,4,Xavier CPU,0,40,True
420,30,1.0,0.87,4,Xavier CPU,0,38,True
420,30,1.0,0.83,4,Xavier CPU,0,32,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,1.0,4,Xavier CPU,0,25,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.97,4,Xavier CPU,0,27,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.97,4,Xavier CPU,0,27,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.97,4,Xavier CPU,0,27,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.97,4,Xavier CPU,0,27,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.93,4,Xavier CPU,0,28,False
420,30,1.0,0.97,4,Xavier CPU,0,27,False
420,30,1.0,1.0,1,Xavier GPU,1,33,True
420,30,1.0,0.93,4,Xavier GPU,1,34,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,0.93,4,Xavier GPU,1,34,False
420,30,1.0,0.93,4,Xavier GPU,1,34,False
420,30,1.0,0.93,4,Xavier GPU,1,34,False
420,30,1.0,0.93,4,Xavier GPU,1,33,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,1.0,4,Xavier GPU,1,32,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,0.93,4,Xavier GPU,1,33,False
420,30,1.0,0.9,4,Xavier GPU,1,34,True
420,30,1.0,0.9,4,Xavier GPU,1,34,False
420,30,1.0,0.9,4,Xavier GPU,1,34,False
420,30,1.0,0.9,4,Xavier GPU,1,34,False
420,30,1.0,0.97,4,Xavier GPU,1,32,False
420,30,1.0,0.93,4,Xavier GPU,1,33,False
420,30,1.0,0.93,4,Xavier GPU,1,33,False
420,30,1.0,0.97,4,Xavier GPU,1,32,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,0.93,4,Xavier GPU,1,34,False
420,30,1.0,0.93,4,Xavier GPU,1,34,False
420,30,1.0,0.93,4,Xavier GPU,1,34,False
420,30,1.0,0.93,4,Xavier GPU,1,33,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,1.0,4,Xavier GPU,1,32,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,0.97,4,Xavier GPU,1,33,False
420,30,1.0,0.93,4,Xavier GPU,1,33,False
420,30,1.0,0.9,4,Xavier GPU,1,34,False
420,30,1.0,0.9,4,Xavier GPU,1,34,False
420,30,1.0,0.9,4,Xavier GPU,1,34,False
420,30,1.0,0.9,4,Xavier GPU,1,34,False
420,30,1.0,0.97,4,Xavier GPU,1,32,False
420,30,1.0,0.93,4,Xavier GPU,1,33,False
420,30,1.0,0.93,4,Xavier GPU,1,33,False
420,30,1.0,0.97,4,Xavier GPU,1,32,False
